model_id,model,p,q,experiment,varying_parameter,x,method,method_label,mean,se,paper_repetitions,is_horizontal_reference,source_kind,source_pdf,pdf_page
0,ModelI,100,50,exp2,r_hat,9,RRR,RRR,0.03582400,0.00011843,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,11,RRR,RRR,0.04024100,0.00011473,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,1,SRRR,SRRR,0.11181800,0.00015405,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,3,SRRR,SRRR,0.07311900,0.00029706,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,5,SRRR,SRRR,0.02225200,0.00011923,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,7,SRRR,SRRR,0.02998800,0.00012866,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,9,SRRR,SRRR,0.03554400,0.00013411,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,11,SRRR,SRRR,0.03989700,0.00015248,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,1,SOFAR,SOFAR,0.11137200,0.00015218,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,3,SOFAR,SOFAR,0.07402300,0.00025403,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,5,SOFAR,SOFAR,0.02700500,0.00019073,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,7,SOFAR,SOFAR,0.02778500,0.00018111,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
